source_dataset,job_title,job_title_norm,career_family,organization,city_standard,region,sector,economic_activity,organization_size,experience_years,entry_level_flag,salary_sar,vacancies,posting_date_hijri
jadarat_detailed,نادل,نادل,Other,مقهى الفصل الخامس لتقديم المشروبات,الباحة,الباحة,خاص,بيع الأغذية والمشروبات بالتجزئة في الأكشاك والأسواق,متوسطة فئة أ,0.0,True,4500.0,2,30/04/1444
jadarat_detailed,مهندس شبكات,مهندس شبكات,Technology,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,حفر الباطن,المنطقة الشرقية,خاص,التسجيل لتقديم خدمات الحوسبة السحابية,عملاقة,4.0,False,9500.0,1,30/04/1444
jadarat_detailed,مهندس شبكات,مهندس شبكات,Technology,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,حفر الباطن,المنطقة الشرقية,خاص,التسجيل لتقديم خدمات الحوسبة السحابية,عملاقة,4.0,False,9500.0,1,30/04/1444
jadarat_detailed,مدير أنظمة تقنية معلومات,مدير انظمه تقنيه معلومات,Technology,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,حفر الباطن,المنطقة الشرقية,خاص,التسجيل لتقديم خدمات الحوسبة السحابية,عملاقة,4.0,False,10000.0,1,30/04/1444
jadarat_detailed,بائع,بايع,Sales & Marketing,شركة وسيف التجارية,جدة,مكة المكرمة,خاص,بيع المشروبات بالتجزئة في المتاجر المتخصصة,صغيرة فئة أ,0.0,True,4500.0,4,30/04/1444
jadarat_detailed,أخصائي حوسبة سحابية,اخصايي حوسبه سحابيه,Other,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,حفر الباطن,المنطقة الشرقية,خاص,التسجيل لتقديم خدمات الحوسبة السحابية,عملاقة,4.0,False,11000.0,1,30/04/1444
jadarat_detailed,أخصائي خوادم,اخصايي خوادم,Other,شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,حفر الباطن,المنطقة الشرقية,خاص,التسجيل لتقديم خدمات الحوسبة السحابية,عملاقة,7.0,False,11000.0,1,30/04/1444
jadarat_detailed,نادل,نادل,Other,شركة الأطعمة الفاخرة المحدودة,الدمام,المنطقة الشرقية,خاص,المطاعم مع الخدمة,صغيرة فئة ب,0.0,True,4500.0,4,30/04/1444
jadarat_detailed,مساعد طبيب أسنان,مساعد طبيب اسنان,Healthcare,مجمع أطباء العناية الطبي شركة شخص واحد,مكة المكرمة,مكة المكرمة,خاص,المجمعات الطبية العامة,صغيرة فئة ب,0.0,True,6000.0,3,14/05/1444
jadarat_detailed,فني شبكات تقنية معلومات,فني شبكات تقنيه معلومات,Technology,مؤسسة احسان محمد محمدصالح ريس لتقنية المعلومات,جدة,مكة المكرمة,خاص,تصميم وبرمجة البرمجيات الخاصة,صغيرة فئة أ,2.0,True,4000.0,1,14/05/1444
jadarat_detailed,حارس أمن,حارس امن,Other,شركة آشي وبشناق للمقاولات شركة مساهمة مقفلة,جدة,مكة المكرمة,خاص,الإنشاءات العامة للمباني السكنية,كبيرة,2.0,True,4000.0,2,14/05/1444
jadarat_detailed,أمين مخزن,امين مخزن,Other,مؤسسه مياسم الزهور فرع مؤسسه الشاره الخضراء التجاريه,جدة,مكة المكرمة,خاص,البيع بالجملة للنباتات الخارجية,صغيرة فئة ب,0.0,True,4750.0,1,14/05/1444
jadarat_detailed,أخصائي اضطرابات تخاطب,اخصايي اضطرابات تخاطب,Other,مدرسة جده العالميه لتعليم المنهج الامريكي فرع شركة الفراس ال,جدة,مكة المكرمة,خاص,التعليم الابتدائي المختلط، يشمل مدارس الجاليات,متوسطة فئة ب,2.0,True,5500.0,6,14/05/1444
jadarat_detailed,معلم ابتدائي,معلم ابتدايي,Education,مدرسة جده العالميه لتعليم المنهج الامريكي فرع شركة الفراس ال,جدة,مكة المكرمة,خاص,التعليم الابتدائي المختلط، يشمل مدارس الجاليات,متوسطة فئة ب,2.0,True,5500.0,6,14/05/1444
jadarat_detailed,أخصائي اضطرابات تخاطب,اخصايي اضطرابات تخاطب,Other,مدرسة جده العالميه لتعليم المنهج الامريكي فرع شركة الفراس ال,جدة,مكة المكرمة,خاص,التعليم الابتدائي المختلط، يشمل مدارس الجاليات,متوسطة فئة ب,2.0,True,7000.0,6,14/05/1444
jadarat_detailed,محاسب,محاسب,Technology,مؤسسة جبل تهوي لتقديم الوجبات,جدة,مكة المكرمة,خاص,المطاعم مع الخدمة,صغيرة فئة ب,4.0,False,5000.0,1,14/05/1444
jadarat_detailed,مساعد رعاية مرضى,مساعد رعايه مرضي,Administration & Support,مجمع أطباء العناية الطبي شركة شخص واحد,مكة المكرمة,مكة المكرمة,خاص,المجمعات الطبية العامة,صغيرة فئة ب,0.0,True,5000.0,3,14/05/1444
jadarat_detailed,مشرف تنظيف وتدبير,مشرف تنظيف وتدبير,Other,شقق دار خيال للوحدات السكنية,الطائف,مكة المكرمة,خاص,المجمعات الطبية العامة,صغيرة فئة أ,0.0,True,4000.0,1,13/05/1444
jadarat_detailed,بائع مجوهرات,بايع مجوهرات,Sales & Marketing,مؤسسة معاذ مشهور محمد القحطاني للذهب والمجوهرات,GHITHAH...,مكة المكرمة,خاص,البيع بالتجزئة للمعادن الثمينة والأحجار الكريمة,صغيرة فئة ب,0.0,True,4000.0,2,13/05/1444
jadarat_detailed,سائق سيارة,سايق سياره,Other,شركة التشغيل المتقدم للإستثمار (شركة شخص واحد),GHITHAH...,مكة المكرمة,خاص,تأجير زوارق المتعة مع بحارتها ، يشمل ( تأجير زوارق رحلات الصيد ),صغيرة فئة أ,0.0,True,4500.0,50,13/05/1444
jadarat_detailed,بائع,بايع,Sales & Marketing,مطعم موائد الشرق لتقديم الوجبات,نجران,نجران,خاص,المطاعم مع الخدمة,صغيرة فئة ب,0.0,True,4000.0,1,13/05/1444
jadarat_detailed,أخصائي خدمة عملاء,اخصايي خدمه عملاء,Administration & Support,شركة واصل لنقل الطرود شركة شخص واحد,جدة,مكة المكرمة,خاص,نقل الطرود (محلي),صغيرة فئة ب,2.0,True,5000.0,2,13/05/1444
jadarat_detailed,كاتب علاقات حكومية,كاتب علاقات حكوميه,Other,شركة واصل لنقل الطرود شركة شخص واحد,جدة,مكة المكرمة,خاص,نقل الطرود (محلي),صغيرة فئة ب,0.0,True,5000.0,1,13/05/1444
jadarat_detailed,بائع,بايع,Sales & Marketing,شركة المذاق الزاكي للتجارة,AN NAQ'A...,نجران,خاص,تنظيف المباني الجديدة بعد الإنشاء,متوسطة فئة ج,0.0,True,4000.0,4,13/05/1444
jadarat_detailed,كاتب موارد بشرية,كاتب موارد بشريه,Human Resources,شركة توينا للماكولات البحرية,جدة,مكة المكرمة,خاص,إدارة عمليات الصيانة والتشغيل في المباني والمرافق التابعة لھا,صغيرة فئة أ,0.0,True,4000.0,3,13/05/1444
jadarat_detailed,مساعد إداري,مساعد اداري,Administration & Support,مؤسسة عزيزه عبدالرحمن احمد الحربي للمقاولات,جدة,مكة المكرمة,خاص,نقل وتوزيع المياه,صغيرة فئة ب,0.0,True,4000.0,4,13/05/1444
jadarat_detailed,مهندس معماري,مهندس معماري,Engineering,مؤسسة بيبا لادوات ومواد السلامة,الخبر,المنطقة الشرقية,خاص,تركيب وصيانة أجهزة ومعدات الإطفاء,متوسطة فئة أ,4.0,False,5000.0,2,13/05/1444
jadarat_detailed,مندوب مبيعات,مندوب مبيعات,Sales & Marketing,شركة المذاق الاخضر المحدودة,جدة,مكة المكرمة,خاص,التسجيل لتقديم خدمات الحوسبة السحابية,صغيرة فئة ب,0.0,True,4000.0,1,13/05/1444
jadarat_detailed,موظف استقبال,موظف استقبال,Administration & Support,مركز قواة رازان الرياضي,الهفوف,المنطقة الشرقية,خاص,مراكز الاسترخاء والعناية الشخصية,صغيرة فئة ب,0.0,True,3500.0,1,13/05/1444
jadarat_detailed,موظف استقبال,موظف استقبال,Administration & Support,شركة حلول انجي المحدودة,الخبر,المنطقة الشرقية,خاص,تركيب شبكات الطاقة الشمسية وصيانتها واصلاحها,كبيرة,0.0,True,4000.0,1,13/05/1444
jadarat_detailed,أخصائي علاج طبيعي,اخصايي علاج طبيعي,Other,مجمع أطباء العناية الطبي شركة شخص واحد,مكة المكرمة,مكة المكرمة,خاص,المجمعات الطبية العامة,صغيرة فئة ب,0.0,True,4500.0,2,13/05/1444
jadarat_detailed,موظف صندوق محاسبة,موظف صندوق محاسبه,Technology,مؤسسة وسام حسين محمد نشار للوجبات السريعة,مكة المكرمة,مكة المكرمة,خاص,المطاعم مع الخدمة,صغيرة فئة أ,0.0,True,4000.0,1,12/05/1444
